Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.78160e-05,-9,-9
-9.78140e-05,-9,-9
-9.78120e-05,-9,-9
-9.78100e-05,-7,-7
-9.78080e-05,-9,-9
-9.78060e-05,-9,-9
-9.78040e-05,-9,-9
-9.78020e-05,-9,-9
-9.78000e-05,-9,-9
-9.77980e-05,-9,-9
-9.77960e-05,-9,-9
-9.77940e-05,-9,-7
-9.77920e-05,-9,-9
-9.77900e-05,-9,-7
-9.77880e-05,-9,-9
-9.77860e-05,-9,-9
-9.77840e-05,-9,-9
-9.77820e-05,-9,-9
-9.77800e-05,-9,-9
-9.77780e-05,-9,-9
-9.77760e-05,-9,-9
-9.77740e-05,-9,-9
-9.77720e-05,-9,-9
-9.77700e-05,-7,-7
-9.77680e-05,-9,-9
-9.77660e-05,-9,-9
-9.77640e-05,-9,-9
-9.77620e-05,-9,-9
-9.77600e-05,-9,-9
-9.77580e-05,-9,-7
-9.77560e-05,-9,-9
-9.77540e-05,-9,-7
-9.77520e-05,-9,-9
-9.77500e-05,-9,-9
-9.77480e-05,-9,-9
-9.77460e-05,-9,-7
-9.77440e-05,-9,-9
-9.77420e-05,-9,-7
-9.77400e-05,-9,-9
-9.77380e-05,-9,-7
-9.77360e-05,-9,-9
-9.77340e-05,-9,-7
-9.77320e-05,-9,-9
-9.77300e-05,-9,-7
-9.77280e-05,-9,-9
-9.77260e-05,-9,-9
-9.77240e-05,-9,-9
-9.77220e-05,-9,-9
-9.77200e-05,-7,-9
-9.77180e-05,-9,-7
-9.77160e-05,-9,-9
-9.77140e-05,-9,-9
-9.77120e-05,-9,-9
-9.77100e-05,-9,-7
-9.77080e-05,-9,-9
-9.77060e-05,-9,-9
-9.77040e-05,-9,-9
-9.77020e-05,-9,-7
-9.77000e-05,-9,-9
-9.76980e-05,-9,-9
-9.76960e-05,-9,-9
-9.76940e-05,-9,-7
-9.76920e-05,-7,-9
-9.76900e-05,-9,-7
-9.76880e-05,-9,-9
-9.76860e-05,-9,-9
-9.76840e-05,-9,-9
-9.76820e-05,-9,-7
-9.76800e-05,-9,-9
-9.76780e-05,-9,-7
-9.76760e-05,-9,-9
-9.76740e-05,-7,-7
-9.76720e-05,-9,-9
-9.76700e-05,-9,-7
-9.76680e-05,-7,-9
-9.76660e-05,-7,-7
-9.76640e-05,-9,-9
-9.76620e-05,-9,-9
-9.76600e-05,-9,-9
-9.76580e-05,-7,-7
-9.76560e-05,-9,-9
-9.76540e-05,-9,-7
-9.76520e-05,-9,-9
-9.76500e-05,-9,-9
-9.76480e-05,-9,-9
-9.76460e-05,-9,-7
-9.76440e-05,-9,-9
-9.76420e-05,-9,-7
-9.76400e-05,-9,-9
-9.76380e-05,-7,-7
-9.76360e-05,-9,-9
-9.76340e-05,-9,-7
-9.76320e-05,-9,-9
-9.76300e-05,-9,-9
-9.76280e-05,-9,-9
-9.76260e-05,-9,-9
-9.76240e-05,-7,-9
-9.76220e-05,-9,-7
-9.76200e-05,-9,-9
-9.76180e-05,-9,-7
-9.76160e-05,-9,-9
-9.76140e-05,-9,-7
-9.76120e-05,-9,-9
-9.76100e-05,-9,-7
-9.76080e-05,-9,-9
-9.76060e-05,-9,-7
-9.76040e-05,-9,-9
-9.76020e-05,-9,-9
-9.76000e-05,-9,-9
-9.75980e-05,-9,-9
-9.75960e-05,-9,-9
-9.75940e-05,-9,-9
-9.75920e-05,-9,-9
-9.75900e-05,-9,-9
-9.75880e-05,-9,-9
-9.75860e-05,-9,-9
-9.75840e-05,-9,-9
-9.75820e-05,-9,-7
-9.75800e-05,-7,-7
-9.75780e-05,-7,-7
-9.75760e-05,-9,-9
-9.75740e-05,-9,-7
-9.75720e-05,-9,-9
-9.75700e-05,-9,-9
-9.75680e-05,-9,-9
-9.75660e-05,-9,-7
-9.75640e-05,-9,-9
-9.75620e-05,-9,-7
-9.75600e-05,-9,-9
-9.75580e-05,-9,-7
-9.75560e-05,-7,-7
-9.75540e-05,-7,-7
-9.75520e-05,-9,-9
-9.75500e-05,-9,-9
-9.75480e-05,-9,-9
-9.75460e-05,-9,-9
-9.75440e-05,-7,-7
-9.75420e-05,-7,-7
-9.75400e-05,-9,-9
-9.75380e-05,-7,-7
-9.75360e-05,-7,-7
-9.75340e-05,-7,-7
-9.75320e-05,-9,-9
-9.75300e-05,-9,-7
-9.75280e-05,-9,-9
-9.75260e-05,-9,-9
-9.75240e-05,-7,-7
-9.75220e-05,-7,-7
-9.75200e-05,-7,-9
-9.75180e-05,-9,-7
-9.75160e-05,-9,-9
-9.75140e-05,-9,-7
-9.75120e-05,-9,-9
-9.75100e-05,-9,-9
-9.75080e-05,-7,-9
-9.75060e-05,-9,-7
-9.75040e-05,-9,-9
-9.75020e-05,-9,-9
-9.75000e-05,-9,-9
-9.74980e-05,-9,-9
-9.74960e-05,-9,-9
-9.74940e-05,-9,-9
-9.74920e-05,-9,-9
-9.74900e-05,-9,-9
-9.74880e-05,-9,-9
-9.74860e-05,-9,-7
-9.74840e-05,-9,-9
-9.74820e-05,-9,-7
-9.74800e-05,-9,-9
-9.74780e-05,-9,-9
-9.74760e-05,-9,-9
-9.74740e-05,-7,-7
-9.74720e-05,-9,-9
-9.74700e-05,-9,-7
-9.74680e-05,-9,-9
-9.74660e-05,-9,-9
-9.74640e-05,-9,-9
-9.74620e-05,-9,-9
-9.74600e-05,-9,-9
-9.74580e-05,-9,-7
-9.74560e-05,-9,-9
-9.74540e-05,-9,-7
-9.74520e-05,-9,-9
-9.74500e-05,-9,-7
-9.74480e-05,-9,-9
-9.74460e-05,-9,-9
-9.74440e-05,-9,-9
-9.74420e-05,-9,-9
-9.74400e-05,-9,-9
-9.74380e-05,-9,-9
-9.74360e-05,-9,-9
-9.74340e-05,-9,-9
-9.74320e-05,-9,-9
-9.74300e-05,-9,-9
-9.74280e-05,-9,-9
-9.74260e-05,-9,-9
-9.74240e-05,-9,-9
-9.74220e-05,-9,-9
-9.74200e-05,-9,-9
-9.74180e-05,-9,-7
-9.74160e-05,-9,-9
-9.74140e-05,-9,-9
-9.74120e-05,-7,-9
-9.74100e-05,-9,-7
-9.74080e-05,-9,-9
-9.74060e-05,-9,-9
-9.74040e-05,-9,-9
-9.74020e-05,-9,-9
-9.74000e-05,-7,-7
-9.73980e-05,-7,-7
-9.73960e-05,-9,-9
-9.73940e-05,-9,-9
-9.73920e-05,-9,-9
-9.73900e-05,-9,-9
-9.73880e-05,-9,-9
-9.73860e-05,-9,-9
-9.73840e-05,-9,-9
-9.73820e-05,-9,-9
-9.73800e-05,-9,-9
-9.73780e-05,-9,-7
-9.73760e-05,-9,-9
